:ext:hudson@cvs.gfdi.be:/cvs/rep/all_teams|darwin|darwin_release_stream
:ext:hudson@cvs.gfdi.be:/cvs/rep/all_teams|mindv2-migration|mindv2_migration_release
:ext:hudson@cvs.gfdi.be:/cvs/rep/catalog_app|catalog_modules|catalog_release_dev
:ext:hudson@cvs.gfdi.be:/cvs/rep/ddd_app|ddd_modules|orcrpg_release_application_slave
:ext:hudson@cvs.gfdi.be:/cvs/rep/dpz_app|dpzeditor|dpzeditor_release_dev
:ext:hudson@cvs.gfdi.be:/cvs/rep/ids|vaadin_fwk_modules|vaadin_fwk_release_dev
:ext:hudson@cvs.gfdi.be:/cvs/rep/ids|viewone-licences|ViewOne_licences_release_dev
:ext:hudson@cvs.gfdi.be:/cvs/rep/integrator_app|intg_db|intg_db_release_dev
:ext:hudson@cvs.gfdi.be:/cvs/rep/integrator_app|intg-maven-plugin|intg-maven-plugin_release_dev
:ext:hudson@cvs.gfdi.be:/cvs/rep/integrator_app|intg_modules|intg_release_dev
:ext:hudson@cvs.gfdi.be:/cvs/rep/integrator_app|mule-transport-dq|mule-transport-dq-release-dev
:ext:hudson@cvs.gfdi.be:/cvs/rep/internal_systems|CreateSubTask|jira_plugin_release_dev
:ext:hudson@cvs.gfdi.be:/cvs/rep/jade2_app|acc_modules|acc_release_dev
:ext:hudson@cvs.gfdi.be:/cvs/rep/jade2_app|bmd_modules|bmd_release_dev
:ext:hudson@cvs.gfdi.be:/cvs/rep/jade2_app|bpe_modules|bpe_release_dev
:ext:hudson@cvs.gfdi.be:/cvs/rep/jade2_app|code_modules|code_release_dev
:ext:hudson@cvs.gfdi.be:/cvs/rep/jade2_app|code_modules|code_release_fix
:ext:hudson@cvs.gfdi.be:/cvs/rep/jade2_app|com_modules/COMAPI|COMAPI_release_dev
:ext:hudson@cvs.gfdi.be:/cvs/rep/jade2_app|com_modules|com_release_dev
:ext:hudson@cvs.gfdi.be:/cvs/rep/jade2_app|domain_modules|domain_release_dev
:ext:hudson@cvs.gfdi.be:/cvs/rep/jade2_app|ent_modules2|ent_modules_release_dev
:ext:hudson@cvs.gfdi.be:/cvs/rep/jade2_app|event_modules|event_release_dev
:ext:hudson@cvs.gfdi.be:/cvs/rep/jade2_app|loadtest_modules/ged_soapui_app|ged_soapui_release_dev
:ext:hudson@cvs.gfdi.be:/cvs/rep/jade2_app|indemnity_modules|indemnity_release_dev
